PTS,Age,MP,FG,3P,3PA,eFG%,ORB,TOV,PF,TS%,weight
448.0,25.0,1058.0,182.0,39.0,125.0,0.486,13.0,95.0,72.0,0.507,203.0
190.0,22.0,603.0,70.0,18.0,48.0,0.473,14.0,30.0,42.0,0.506,186.0
78.0,20.0,319.0,33.0,4.0,21.0,0.385,21.0,14.0,26.0,0.405,198.0
321.0,34.0,769.0,130.0,35.0,84.0,0.588,15.0,43.0,46.0,0.603,240.0
1236.0,26.0,2100.0,506.0,1.0,10.0,0.513,214.0,104.0,206.0,0.5579999999999999,275.0
749.0,25.0,2084.0,267.0,0.0,4.0,0.516,201.0,154.0,253.0,0.564,245.0
335.0,26.0,712.0,134.0,25.0,79.0,0.51,30.0,45.0,80.0,0.5379999999999999,245.0
286.0,25.0,824.0,121.0,7.0,29.0,0.456,50.0,35.0,86.0,0.478,228.0
948.0,28.0,2313.0,377.0,93.0,258.0,0.48,51.0,155.0,130.0,0.505,205.0
532.0,29.0,987.0,181.0,73.0,185.0,0.546,9.0,42.0,65.0,0.598,190.0
63.0,26.0,263.0,24.0,10.0,45.0,0.397,4.0,13.0,21.0,0.40700000000000003,185.0
178.0,28.0,447.0,64.0,18.0,44.0,0.47700000000000004,45.0,12.0,51.0,0.515,235.0
574.0,27.0,1287.0,189.0,49.0,150.0,0.46299999999999997,13.0,110.0,61.0,0.536,183.0
402.0,28.0,1188.0,125.0,19.0,60.0,0.40299999999999997,23.0,86.0,73.0,0.49,190.0
201.0,22.0,476.0,74.0,30.0,80.0,0.5,7.0,35.0,53.0,0.521,190.0
493.0,23.0,1606.0,218.0,31.0,89.0,0.503,43.0,140.0,114.0,0.511,200.0
919.0,21.0,2286.0,358.0,10.0,36.0,0.435,172.0,149.0,242.0,0.48200000000000004,250.0
1127.0,28.0,2796.0,429.0,1.0,14.0,0.494,184.0,157.0,255.0,0.5589999999999999,255.0
957.0,31.0,2241.0,359.0,39.0,146.0,0.46299999999999997,19.0,191.0,143.0,0.522,200.0
512.0,22.0,866.0,194.0,20.0,51.0,0.514,63.0,35.0,49.0,0.556,223.0
1258.0,25.0,2581.0,512.0,57.0,179.0,0.491,110.0,170.0,245.0,0.523,245.0
799.0,35.0,2124.0,281.0,123.0,331.0,0.529,19.0,102.0,110.0,0.5660000000000001,185.0
810.0,31.0,2259.0,277.0,189.0,414.0,0.618,23.0,70.0,170.0,0.637,212.0
1048.0,29.0,2930.0,366.0,194.0,555.0,0.509,77.0,141.0,186.0,0.539,215.0
1413.0,30.0,2687.0,530.0,3.0,17.0,0.496,115.0,176.0,208.0,0.5579999999999999,255.0
843.0,28.0,1735.0,340.0,66.0,186.0,0.5489999999999999,51.0,114.0,120.0,0.573,190.0
645.0,29.0,1557.0,233.0,96.0,248.0,0.484,43.0,117.0,146.0,0.518,161.0
578.0,27.0,1305.0,190.0,15.0,68.0,0.425,22.0,93.0,50.0,0.509,190.0
57.0,24.0,239.0,21.0,5.0,17.0,0.385,6.0,25.0,26.0,0.406,170.0
929.0,24.0,2136.0,384.0,0.0,0.0,0.534,226.0,110.0,167.0,0.573,255.0
105.0,23.0,321.0,40.0,0.0,4.0,0.556,30.0,13.0,31.0,0.601,275.0
632.0,26.0,1059.0,223.0,48.0,129.0,0.502,18.0,110.0,75.0,0.557,205.0
976.0,32.0,1953.0,404.0,38.0,89.0,0.508,15.0,146.0,108.0,0.539,185.0
767.0,28.0,1881.0,280.0,96.0,259.0,0.496,144.0,71.0,171.0,0.526,235.0
193.0,23.0,556.0,83.0,16.0,36.0,0.542,40.0,19.0,48.0,0.5539999999999999,230.0
356.0,23.0,1254.0,130.0,50.0,151.0,0.524,46.0,41.0,100.0,0.551,235.0
1041.0,23.0,1667.0,394.0,84.0,262.0,0.496,44.0,124.0,107.0,0.54,193.0
294.0,24.0,656.0,113.0,52.0,130.0,0.5770000000000001,9.0,39.0,55.0,0.59,185.0
580.0,28.0,1093.0,206.0,47.0,154.0,0.483,21.0,56.0,66.0,0.539,235.0
202.0,20.0,428.0,75.0,22.0,54.0,0.5660000000000001,6.0,32.0,65.0,0.597,205.0
739.0,34.0,2401.0,268.0,158.0,397.0,0.563,14.0,98.0,161.0,0.578,212.0
1564.0,29.0,2857.0,568.0,139.0,349.0,0.545,52.0,190.0,203.0,0.596,175.0
108.0,26.0,366.0,44.0,0.0,2.0,0.506,50.0,25.0,57.0,0.5489999999999999,275.0
1055.0,23.0,2486.0,446.0,20.0,57.0,0.586,222.0,125.0,213.0,0.612,235.0
1082.0,30.0,1992.0,486.0,2.0,5.0,0.48200000000000004,99.0,68.0,139.0,0.5,289.0
1249.0,29.0,2631.0,529.0,88.0,256.0,0.547,148.0,107.0,163.0,0.565,245.0
1463.0,31.0,2391.0,569.0,17.0,66.0,0.528,86.0,194.0,140.0,0.5710000000000001,220.0
705.0,35.0,1393.0,229.0,83.0,235.0,0.502,30.0,132.0,114.0,0.56,205.0
399.0,24.0,1049.0,156.0,0.0,1.0,0.5379999999999999,103.0,60.0,137.0,0.581,253.0
436.0,25.0,795.0,155.0,67.0,164.0,0.532,66.0,20.0,47.0,0.5720000000000001,240.0
1089.0,22.0,2193.0,380.0,50.0,143.0,0.48700000000000004,59.0,149.0,190.0,0.547,214.0
153.0,21.0,380.0,54.0,0.0,2.0,0.466,39.0,19.0,58.0,0.534,239.0
1501.0,27.0,2457.0,591.0,2.0,14.0,0.512,204.0,175.0,215.0,0.562,275.0
1164.0,22.0,2369.0,442.0,87.0,239.0,0.512,73.0,115.0,134.0,0.551,235.0
646.0,29.0,1544.0,240.0,42.0,136.0,0.469,55.0,69.0,102.0,0.517,235.0
138.0,27.0,638.0,51.0,6.0,29.0,0.38299999999999995,21.0,42.0,72.0,0.431,195.0
630.0,29.0,2017.0,240.0,62.0,195.0,0.446,54.0,129.0,157.0,0.47600000000000003,205.0
382.0,26.0,988.0,155.0,26.0,110.0,0.43799999999999994,53.0,47.0,146.0,0.466,235.0
983.0,26.0,2500.0,416.0,60.0,184.0,0.513,141.0,108.0,211.0,0.5329999999999999,235.0
1143.0,33.0,2304.0,454.0,7.0,20.0,0.491,225.0,156.0,175.0,0.5379999999999999,260.0
687.0,24.0,1395.0,253.0,85.0,210.0,0.531,72.0,74.0,163.0,0.561,238.0
2375.0,27.0,2700.0,805.0,402.0,886.0,0.63,68.0,262.0,161.0,0.669,190.0
1903.0,24.0,2861.0,673.0,97.0,300.0,0.47,111.0,273.0,189.0,0.532,200.0
